,"Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes","Number of people dying of HIV-related causes"
"Bangladesh","600 [520–700]","620 [540–730]","610 [530–710]","600 [520–700]","560 [<500–660]","550 [<500–640]","550 [<500–630]","520 [<500–590]","<500 [<500–550]","<500 [<500–510]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<200 [<200–<200]","<200 [<200–<200]","<200 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Barbados","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<200 [<100–<200]","<200 [<100–<200]","<100 [<100–<200]"
"Belarus","<500 [<200–540]","<500 [<200–550]","<500 [<200–510]","<500 [<200–<500]","<500 [<200–510]","<500 [<500–570]","<500 [<500–590]","<500 [<500–620]","<500 [<500–620]","<500 [<500–560]","<500 [<500–540]","<500 [<500–520]","<500 [<500–<500]","<500 [<500–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<500 [<200–<500]","<200 [<200–<500]","<200 [<200–<500]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]"
"Belgium","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]"
"Belize","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<200 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<200]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Benin","1900 [1300–2600]","2000 [1300–2800]","2000 [1400–2900]","2400 [1700–3300]","2600 [1800–3500]","2500 [1700–3400]","2600 [1900–3600]","2900 [2100–3900]","3100 [2200–4200]","2800 [2000–3800]","2700 [2100–3600]","2700 [2100–3600]","2800 [2200–3600]","3200 [2500–4000]","4600 [3800–5700]","6100 [5200–7200]","6000 [5100–7200]","5800 [5000–7000]","5700 [4800–6800]","5400 [4600–6500]","5200 [4300–6300]","4900 [3900–6000]","4500 [3600–5700]"
"Bhutan","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]","<100 [<100–<100]"
"Bolivia (Plurinational State of)","680 [<500–1000]","690 [<500–1000]","710 [<500–1000]","740 [510–1100]","860 [620–1200]","970 [710–1300]","1000 [760–1400]","1100 [840–1400]","1200 [920–1500]","1200 [920–1500]","1300 [980–1600]","1300 [1000–1600]","1200 [950–1500]","1200 [960–1600]","1300 [1000–1600]","1300 [990–1600]","1200 [970–1500]","1200 [950–1500]","1200 [910–1500]","1100 [830–1400]","1000 [720–1300]","950 [600–1300]","860 [<500–1200]"
"Bosnia and Herzegovina","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
"Botswana","3800 [3200–4500]","3900 [3300–4600]","3900 [3300–4500]","4400 [3700–5000]","4500 [3900–5300]","4500 [3800–5300]","4600 [4000–5500]","4600 [4000–5300]","4600 [4100–5400]","4900 [4300–5600]","5100 [4500–5800]","5600 [5000–6300]","6000 [5400–6700]","6800 [6100–7500]","7800 [7000–8800]","8600 [7700–9800]","10 000 [9000–11 000]","12 000 [11 000–13 000]","15 000 [14 000–16 000]","17 000 [16 000–19 000]","18 000 [17 000–20 000]","18 000 [17 000–19 000]","16 000 [15 000–18 000]"
"Brazil","13 000 [9800–16 000]","14 000 [10 000–17 000]","14 000 [11 000–17 000]","14 000 [11 000–18 000]","14 000 [11 000–18 000]","15 000 [12 000–18 000]","16 000 [12 000–19 000]","17 000 [13 000–20 000]","17 000 [13 000–20 000]","16 000 [13 000–19 000]","16 000 [13 000–19 000]","16 000 [13 000–19 000]","15 000 [13 000–18 000]","16 000 [13 000–19 000]","15 000 [13 000–18 000]","15 000 [13 000–17 000]","15 000 [13 000–17 000]","15 000 [13 000–17 000]","14 000 [13 000–16 000]","14 000 [12 000–16 000]","14 000 [12 000–15 000]","14 000 [12 000–15 000]","14 000 [13 000–15 000]"
"Brunei Darussalam","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data","No data"
