Year,Population
2005,1154638713.0
2006,1172373788.0
2007,1189691809.0
2008,1206734806.0
2009,1223640160.0
2010,1240613620.0
2011,1257621191.0
2012,1274487215.0
2013,1291132063.0
2014,1307246509.0
2015,1322866505.0
