,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Chemical Industry,31749472.79,32127208.449999996,32685357.32,32516112.689999998,34518671.15,37028370.78999999,39369302.37,39082352.18,38952037.739999995,38849107.440000005,40974594.33
Metal Industry,6951829.71,7710421.989999999,7774729.73,9092335.05,9191628.780000001,9688063.95,16930635.389999997,16819503.95,11251504.88,10991170.64,12577067.760000002
Mineral Industry,59484190.63,63757253.19000001,68295358.89000002,74146312.6,81549795.8,89523325.19,93113858.22000001,94559799.32000001,103645166.37,116217486.67,115969588.67000002
Non-Energy Products from Fuels and Solvent Use,3314237.4299999997,3297275.5600000005,3601025.67,3355017.9999999995,3547425.0300000003,4631797.12,5158659.87,5185112.9,4863006.579999999,6792096.84,5853530.77
Total,101499730.56,106892159.19000001,112356471.61000001,119109778.33999999,128807520.75999999,140871557.05,154572455.85000002,155646768.35,158711715.57000002,172849861.59,175374781.53000003
