Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CH4 (t),Tripura,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CH4 (t),Uttar Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CH4 (t),Uttarakhand,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Iron & Steel,,,,,Emissions,CH4 (t),West Bengal,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Andaman & Nicobar Islands,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Andhra Pradesh,Waste,,1845.64,2012.76,1862.88,1823.7,2099.64,2152.29,2071.2,2007.63,2056.59,1535.19,1292.55
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Arunachal Pradesh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Assam,Waste,,132.66,162.0,178.77,123.75,154.26,160.71,154.71,201.81,265.59,220.41,205.16
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Bihar,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Chandigarh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Chhattisgarh,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Daman & Diu ,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Waste,Industrial Wastewater,Fertilizers,,,,,Emissions,CH4 (t),Dadra & Nagar Haveli,Waste,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
