Level 1,Level 2,Level 3,Level 4,Level 5,Level 6,Level 7,Emission / Removal / Bunker,Gas,State,Economic Activity,Product,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Kerala,Industry,-,844890.74,849811.86,837879.98,835063.92,873178.41,909893.05,921159.09,940862.76,951467.83,948834.6,1006937.72
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR5,Kerala,Industry,-,844890.77,849811.89,837879.97,835063.92,873178.44,909893.05,921159.06,940862.75,951467.84,948834.61,1006937.73
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,N2O (t),Kerala,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CH4 (t),Maharashtra,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2 (t),Maharashtra,Industry,-,1502252.03,1511002.0,1489786.61,1484779.53,1552548.73,1617828.93,1637860.43,1672894.41,1691750.67,1687068.68,1790378.52
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR2,Maharashtra,Industry,-,1502252.0,1511002.03,1489786.59,1484779.56,1552548.72,1617828.94,1637860.44,1672894.44,1691750.66,1687068.69,1790378.56
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR5,Maharashtra,Industry,-,1502252.0,1511002.03,1489786.59,1484779.56,1552548.72,1617828.94,1637860.44,1672894.44,1691750.66,1687068.69,1790378.56
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Maharashtra,Industry,-,1502252.03,1511002.0,1489786.61,1484779.53,1552548.73,1617828.93,1637860.43,1672894.41,1691750.67,1687068.68,1790378.52
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR5,Maharashtra,Industry,-,1502252.0,1511002.03,1489786.59,1484779.56,1552548.72,1617828.94,1637860.44,1672894.44,1691750.66,1687068.69,1790378.56
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,N2O (t),Maharashtra,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CH4 (t),Rajasthan,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2 (t),Rajasthan,Industry,-,3417875.43,3437783.07,3389514.5,3378122.55,3532308.85,3680832.26,3726407.29,3806115.48,3849016.62,3838364.31,4073411.53
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR2,Rajasthan,Industry,-,3417875.31,3437783.0,3389514.44,3378122.5,3532308.75,3680832.25,3726407.25,3806115.5,3849016.56,3838364.31,4073411.56
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR5,Rajasthan,Industry,-,3417875.31,3437783.0,3389514.44,3378122.5,3532308.75,3680832.25,3726407.25,3806115.5,3849016.56,3838364.31,4073411.56
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Rajasthan,Industry,-,3417875.43,3437783.07,3389514.5,3378122.55,3532308.85,3680832.26,3726407.29,3806115.48,3849016.62,3838364.31,4073411.53
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR5,Rajasthan,Industry,-,3417875.31,3437783.0,3389514.44,3378122.5,3532308.75,3680832.25,3726407.25,3806115.5,3849016.56,3838364.31,4073411.56
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,N2O (t),Rajasthan,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CH4 (t),Uttar Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2 (t),Uttar Pradesh,Industry,-,5079426.67,5109012.12,5037278.47,5020348.49,5249490.27,5470216.2,5537946.88,5656404.06,5720160.99,5704330.21,6053642.26
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR2,Uttar Pradesh,Industry,-,5079426.75,5109012.25,5037278.63,5020348.38,5249490.25,5470216.25,5537947.0,5656404.25,5720160.88,5704330.13,6053642.25
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR5,Uttar Pradesh,Industry,-,5079426.75,5109012.25,5037278.63,5020348.38,5249490.25,5470216.25,5537947.0,5656404.25,5720160.88,5704330.13,6053642.25
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR2,Uttar Pradesh,Industry,-,5079426.67,5109012.12,5037278.47,5020348.49,5249490.27,5470216.2,5537946.88,5656404.06,5720160.99,5704330.21,6053642.26
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GWP-AR5,Uttar Pradesh,Industry,-,5079426.75,5109012.25,5037278.63,5020348.38,5249490.25,5470216.25,5537947.0,5656404.25,5720160.88,5704330.13,6053642.25
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,N2O (t),Uttar Pradesh,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CH4 (t),West Bengal,Industry,-,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2 (t),West Bengal,Industry,-,2064840.38,2076867.17,2047706.69,2040824.48,2133973.02,2223700.43,2251233.67,2299387.76,2325305.62,2318870.24,2460869.27
Industrial Product and Process Use,Chemical Industry,Ammonia Production,Ammonia Production,-,-,,Emissions,CO2e (t) GTP-AR2,West Bengal,Industry,-,2064840.34,2076867.13,2047706.69,2040824.44,2133973.0,2223700.44,2251233.63,2299387.75,2325305.69,2318870.25,2460869.19
