,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Fuel Combustion Emissions,1008696665.37,1082605240.24,1187800013.87,1268800832.9099998,1364582590.6799996,1435416175.3700001,1518517618.78,1638578031.28,1700772616.1699998,1803972857.48,1825745025.83
Fugitive Emissions,35465736.23,35136237.91,35745253.76,36663087.6,43011686.480000004,46491747.120000005,44743643.129999995,42470669.36,39954899.24,37903706.239999995,36369158.16
Total,1044162401.6,1117741478.15,1223545267.6299999,1305463920.5099998,1407594277.1599996,1481907922.4900002,1563261261.9099998,1681048700.6399999,1740727515.4099998,1841876563.72,1862114183.99
