,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Aggregate Sources and non-CO2 emissions sources on land ,125261694.83000001,127022522.91000001,127341481.49,130421216.17,128808800.22999999,132061013.44,135810620.22,133196615.05,132494820.83000001,131719812.26,131556338.44999999
Livestock,219785210.66000003,225034639.26,230280129.11999997,228950378.76000002,227620628.7,226290878.68000004,224961128.54,223631378.63,224600517.60999998,226299184.14000002,228747253.32
Land,-90196915.05999999,-90196915.05999999,-90196915.05999999,-92074293.23999998,-92074293.23999998,-92074293.23999998,-90714782.79,-65092352.160000004,-65092352.160000004,-117181915.98000002,-117181915.98000002
Total,254849990.43,261860247.11,267424695.54999995,267297301.69000003,264355135.68999997,266277598.88000003,270056965.96999997,291735641.52,292002986.28,240837080.42000002,243121675.78999996
