,2005,2006,2007,2008,2009,2010,2011,2012,2013,2014,2015
Energy,1044162401.6,1117741478.15,1223545267.63,1305463920.51,1407594277.16,1481907922.4899998,1563261261.9099998,1681048700.6399999,1740727515.4099998,1841876563.72,1862114183.9900002
Industrial Product and Process Use,101499730.55999999,106892159.19000001,112356471.60999998,119109778.34000002,128807520.75999999,140871557.05,154572455.85000002,155646768.35,158711715.57,172849861.59,175374781.52999997
"Agriculture, Forestry and Other Land Use",254849990.43,261860247.11,267424695.54999998,267297301.68999997,264355135.69,266277598.88000008,270056965.96999997,291735641.52,292002986.28000003,240837080.42,243121675.79000002
Waste,64258608.28,66291238.58,68572204.39,70674898.17,72745589.47000001,74985742.52,86191927.44999999,89245607.16,91965130.02,94795955.32,96918310.14999999
Total,1464770730.8700001,1552785123.0300002,1671898639.18,1762545898.71,1873502523.0800002,1964042820.9399998,2074082611.1799998,2217676717.6699996,2283407347.2799997,2350359461.05,2377528951.4600005
